DATA,CORINTHIANS,PLACARCOR,PLACARADV,ADVERSÁRIO
21-03-62,CORINTHIANS,2,2,BOTAFOGO (RIBEIRÃO PRETO)
25-03-62,CORINTHIANS,1,4,FERROVIÁRIA (ARARAQUARA)
01-04-62,CORINTHIANS,2,2,FERROVIÁRIA (ARARAQUARA)
15-04-62,CORINTHIANS,1,0,PORTUGUESA SANTISTA
22-04-62,CORINTHIANS,5,0,PORTUGUESA SANTISTA
01-05-62,CORINTHIANS,7,1,OPERÁRIO
05-05-62,CORINTHIANS,4,0,TAUBATÉ
10-05-62,CORINTHIANS,3,0,TAUBATÉ
13-05-62,CORINTHIANS,1,1,OURINHENSE
18-05-62,CORINTHIANS,0,1,SELEÇÃO DO URUGUAI
27-05-62,CORINTHIANS,0,2,SÃO PAULO
03-06-62,CORINTHIANS,5,1,SÃO PAULO
07-06-62,CORINTHIANS,0,2,FERROVIÁRIA (ARARAQUARA)
10-06-62,CORINTHIANS,4,0,FERROVIÁRIA (ARARAQUARA)
16-06-62,CORINTHIANS,3,1,SANTOS
21-06-62,CORINTHIANS,3,3,SANTOS
01-07-62,CORINTHIANS,6,0,COMBINADO LARANJAL
08-07-62,CORINTHIANS,5,0,XV DE PIRACICABA
15-07-62,CORINTHIANS,2,1,ESPORTIVA DE GUARATINGUETÁ
22-07-62,CORINTHIANS,4,0,BOTAFOGO (RIBEIRÃO PRETO)
25-07-62,CORINTHIANS,2,1,COMERCIAL (RIBEIRÃO PRETO)
29-07-62,CORINTHIANS,4,1,TAUBATÉ
05-08-62,CORINTHIANS,1,1,JUVENTUS
09-08-62,CORINTHIANS,3,1,JABAQUARA (EX-HESPANHA)
15-08-62,CORINTHIANS,0,3,PORTUGUESA
19-08-62,CORINTHIANS,3,1,PRUDENTINA
26-08-62,CORINTHIANS,1,1,SÃO PAULO
02-09-62,CORINTHIANS,5,1,NOROESTE
07-09-62,CORINTHIANS,7,1,FERROVIÁRIA (ARARAQUARA)
16-09-62,CORINTHIANS,1,1,GUARANI
23-09-62,CORINTHIANS,2,5,SANTOS
30-09-62,CORINTHIANS,3,1,PALMEIRAS
03-10-62,CORINTHIANS,3,1,RIVER PLATE
10-10-62,CORINTHIANS,4,0,TAUBATÉ
14-10-62,CORINTHIANS,1,1,XV DE PIRACICABA
18-10-62,CORINTHIANS,2,0,ESPORTIVA DE GUARATINGUETÁ
25-10-62,CORINTHIANS,1,1,PORTUGUESA
28-10-62,CORINTHIANS,3,0,PRUDENTINA
05-11-62,CORINTHIANS,1,2,SANTOS
08-11-62,CORINTHIANS,3,1,FERROVIÁRIA (ARARAQUARA)
11-11-62,CORINTHIANS,2,2,BOTAFOGO (RIBEIRÃO PRETO)
15-11-62,CORINTHIANS,4,1,NOROESTE
18-11-62,CORINTHIANS,2,0,JABAQUARA (EX-HESPANHA)
22-11-62,CORINTHIANS,3,3,GUARANI
25-11-62,CORINTHIANS,0,2,COMERCIAL (RIBEIRÃO PRETO)
02-12-62,CORINTHIANS,3,2,SÃO PAULO
09-12-62,CORINTHIANS,3,0,PALMEIRAS
16-12-62,CORINTHIANS,2,3,JUVENTUS
13-01-63,CORINTHIANS,1,0,SANTA FÉ
20-01-63,CORINTHIANS,2,4,MILLONARIOS
23-01-63,CORINTHIANS,1,0,ONCE CALDAS
27-01-63,CORINTHIANS,1,0,SANTA FÉ
30-01-63,CORINTHIANS,7,0,SELEÇÃO DO PANAMÁ
04-02-63,CORINTHIANS,2,1,UNIVERSITÁRIO
07-02-63,CORINTHIANS,3,2,DEPORTIVO MUNICIPAL
14-02-63,CORINTHIANS,3,1,PORTUGUESA
17-02-63,CORINTHIANS,2,0,FLUMINENSE
23-02-63,CORINTHIANS,0,1,PALMEIRAS
03-03-63,CORINTHIANS,0,2,SANTOS
09-03-63,CORINTHIANS,2,1,VASCO DA GAMA
14-03-63,CORINTHIANS,1,2,SÃO PAULO
21-03-63,CORINTHIANS,2,0,OLARIA
27-03-63,CORINTHIANS,3,2,BOTAFOGO
31-03-63,CORINTHIANS,2,0,FLAMENGO
07-04-63,CORINTHIANS,3,3,VOLKSWAGEN CLUBE
21-04-63,CORINTHIANS,1,0,PORTUGUESA SANTISTA
01-05-63,CORINTHIANS,0,0,ARAPONGAS
05-05-63,CORINTHIANS,2,1,PONTE PRETA
12-05-63,CORINTHIANS,2,2,VOTUPORANGUENSE
19-05-63,CORINTHIANS,2,0,NACIONAL
26-05-63,CORINTHIANS,2,0,PAULISTA
02-06-63,CORINTHIANS,1,2,SÃO PAULO
09-06-63,CORINTHIANS,3,2,XV DE PIRACICABA
16-06-63,CORINTHIANS,1,1,JABAQUARA (EX-HESPANHA)
23-06-63,CORINTHIANS,3,0,ESPORTIVA DE GUARATINGUETÁ
30-06-63,CORINTHIANS,1,1,PRUDENTINA
07-07-63,CORINTHIANS,1,2,COMERCIAL (RIBEIRÃO PRETO)
14-07-63,CORINTHIANS,1,2,NOROESTE
21-07-63,CORINTHIANS,1,1,JUVENTUS
28-07-63,CORINTHIANS,5,0,GUARANI
04-08-63,CORINTHIANS,3,0,SÃO PAULO
11-08-63,CORINTHIANS,3,2,FERROVIÁRIA (ARARAQUARA)
18-08-63,CORINTHIANS,1,1,BOTAFOGO (RIBEIRÃO PRETO)
25-08-63,CORINTHIANS,1,1,PORTUGUESA
01-09-63,CORINTHIANS,3,2,SÃO BENTO (SOROCABA)
15-09-63,CORINTHIANS,0,2,PALMEIRAS
22-09-63,CORINTHIANS,1,3,SANTOS
29-09-63,CORINTHIANS,1,0,NOROESTE
06-10-63,CORINTHIANS,2,3,ESPORTIVA DE GUARATINGUETÁ
13-10-63,CORINTHIANS,2,0,SÃO BENTO (SOROCABA)
17-10-63,CORINTHIANS,3,1,JABAQUARA (EX-HESPANHA)
20-10-63,CORINTHIANS,3,4,LONDRINA (FR)
23-10-63,CORINTHIANS,3,3,FERROVIÁRIA (ARARAQUARA)
27-10-63,CORINTHIANS,0,1,BOTAFOGO (RIBEIRÃO PRETO)
03-11-63,CORINTHIANS,0,1,PORTUGUESA
10-11-63,CORINTHIANS,0,1,COMERCIAL (RIBEIRÃO PRETO)
17-11-63,CORINTHIANS,1,0,SÃO PAULO
24-11-63,CORINTHIANS,1,2,XV DE PIRACICABA
28-11-63,CORINTHIANS,2,2,PRUDENTINA
01-12-63,CORINTHIANS,1,4,GUARANI
04-12-63,CORINTHIANS,2,5,PALMEIRAS
10-12-63,CORINTHIANS,2,2,JUVENTUS
14-12-63,CORINTHIANS,2,2,SANTOS
30-01-64,CORINTHIANS,1,0,CRUZEIRO
02-02-64,CORINTHIANS,2,2,BOTAFOGO
07-02-64,CORINTHIANS,3,2,BOTAFOGO
25-02-64,CORINTHIANS,0,1,INTERNACIONAL
28-02-64,CORINTHIANS,4,2,GRÊMIO
15-03-64,CORINTHIANS,1,2,FLAMENGO
18-03-64,CORINTHIANS,0,3,SANTOS
28-03-64,CORINTHIANS,2,1,FLUMINENSE
09-04-64,CORINTHIANS,3,0,SÃO PAULO
18-04-64,CORINTHIANS,1,2,PALMEIRAS
25-04-64,CORINTHIANS,1,1,BANGU
28-04-64,CORINTHIANS,1,3,BOTAFOGO
02-05-64,CORINTHIANS,2,2,PORTUGUESA
06-05-64,CORINTHIANS,1,0,VASCO DA GAMA
16-05-64,CORINTHIANS,4,0,FERROVIÁRIA (BOTUCATU)
24-05-64,CORINTHIANS,0,1,PORTUGUESA SANTISTA
28-05-64,CORINTHIANS,3,1,PORTUGUESA
07-06-64,CORINTHIANS,0,1,NITROQUÍMICA
11-06-64,CORINTHIANS,4,3,CORUMBAENSE
14-06-64,CORINTHIANS,2,0,SELEÇÃO CAMPO GRANDE
19-06-64,CORINTHIANS,2,1,COMB. COMERCIAL/BOTAFOGO
28-06-64,CORINTHIANS,2,1,PORTUGUESA
29-06-64,CORINTHIANS,6,0,GENERAL MOTORS
05-07-64,CORINTHIANS,6,0,PRUDENTINA
12-07-64,CORINTHIANS,1,1,ESPORTIVA DE GUARATINGUETÁ
15-07-64,CORINTHIANS,2,1,BOTAFOGO (RIBEIRÃO PRETO)
19-07-64,CORINTHIANS,2,1,COMERCIAL (RIBEIRÃO PRETO)
26-07-64,CORINTHIANS,1,2,NOROESTE
02-08-64,CORINTHIANS,2,1,JUVENTUS
09-08-64,CORINTHIANS,2,2,XV DE PIRACICABA
12-08-64,CORINTHIANS,1,0,AMÉRICA (RIO PRETO)
15-08-64,CORINTHIANS,0,0,SÃO PAULO
23-08-64,CORINTHIANS,3,0,SÃO BENTO (SOROCABA)
30-08-64,CORINTHIANS,1,3,GUARANI
04-09-64,CORINTHIANS,2,2,PORTUGUESA
13-09-64,CORINTHIANS,1,0,PALMEIRAS
20-09-64,CORINTHIANS,0,0,SANTOS
26-09-64,CORINTHIANS,1,0,FERROVIÁRIA (ARARAQUARA)
30-09-64,CORINTHIANS,1,1,SANTOS
04-10-64,CORINTHIANS,0,0,PRUDENTINA
10-10-64,CORINTHIANS,3,1,COMERCIAL (RIBEIRÃO PRETO)
14-10-64,CORINTHIANS,2,0,ESPORTIVA DE GUARATINGUETÁ
18-10-64,CORINTHIANS,1,1,BOTAFOGO (RIBEIRÃO PRETO)
23-10-64,CORINTHIANS,3,0,JUVENTUS
28-10-64,CORINTHIANS,0,2,AMÉRICA (RIO PRETO)
01-11-64,CORINTHIANS,2,0,SÃO PAULO
08-11-64,CORINTHIANS,0,0,SÃO BENTO (SOROCABA)
12-11-64,CORINTHIANS,1,0,XV DE PIRACICABA
15-11-64,CORINTHIANS,1,0,GUARANI
18-11-64,CORINTHIANS,2,1,NOROESTE
22-11-64,CORINTHIANS,2,4,PORTUGUESA
29-11-64,CORINTHIANS,1,4,PALMEIRAS
06-12-64,CORINTHIANS,4,7,SANTOS
13-12-64,CORINTHIANS,2,0,FERROVIÁRIA (ARARAQUARA)
13-01-65,CORINTHIANS,3,0,SANTA CRUZ
17-01-65,CORINTHIANS,3,1,NÁUTICO
19-01-65,CORINTHIANS,0,1,SÃO PAULO
21-01-65,CORINTHIANS,5,2,SPORT
24-01-65,CORINTHIANS,3,1,CRB
27-01-65,CORINTHIANS,4,1,SERGIPE
31-01-65,CORINTHIANS,0,2,BAHIA
14-02-65,CORINTHIANS,3,1,VASCO DA GAMA
20-02-65,CORINTHIANS,7,1,OSASQUENSE
24-02-65,CORINTHIANS,2,2,PALMEIRAS
28-02-65,CORINTHIANS,3,4,SELEÇÃO DO PARAGUAI
07-03-65,CORINTHIANS,2,2,SÃO PAULO
08-03-65,CORINTHIANS,3,1,SELEÇÃO DE TIETÊ
13-03-65,CORINTHIANS,1,2,FLUMINENSE
20-03-65,CORINTHIANS,2,4,FLAMENGO
28-03-65,CORINTHIANS,1,1,BOTAFOGO
04-04-65,CORINTHIANS,1,1,PORTUGUESA
08-04-65,CORINTHIANS,2,0,AMÉRICA
11-04-65,CORINTHIANS,1,1,MONTE ALEGRE
15-04-65,CORINTHIANS,4,4,SANTOS
21-04-65,CORINTHIANS,3,3,SÃO JOSÉ (EC SJ)
24-04-65,CORINTHIANS,1,2,SÃO PAULO
02-05-65,CORINTHIANS,2,0,BOTAFOGO
05-05-65,CORINTHIANS,0,1,PALMEIRAS
09-05-65,CORINTHIANS,0,3,FLUMINENSE
15-05-65,CORINTHIANS,5,1,FLAMENGO
18-05-65,CORINTHIANS,2,2,PORTUGUESA
20-05-65,CORINTHIANS,4,2,CRUZEIRO
23-05-65,CORINTHIANS,1,1,VASCO DA GAMA
27-05-65,CORINTHIANS,2,2,BOTAFOGO
30-05-65,CORINTHIANS,2,2,FLUMINENSE
06-06-65,CORINTHIANS,1,2,COMERCIAL (RIBEIRÃO PRETO)
13-06-65,CORINTHIANS,1,0,GRÊMIO MARINGÁ
22-06-65,CORINTHIANS,1,1,ÁGUA VERDE
29-06-65,CORINTHIANS,2,0,ATLÉTICO PARANAVAÍ
13-07-65,CORINTHIANS,3,0,SÃO BENTO (SOROCABA)
18-07-65,CORINTHIANS,2,1,SÃO PAULO
25-07-65,CORINTHIANS,3,2,PRUDENTINA
01-08-65,CORINTHIANS,2,1,PORTUGUESA SANTISTA
04-08-65,CORINTHIANS,4,1,JUVENTUS
08-08-65,CORINTHIANS,1,2,COMERCIAL (RIBEIRÃO PRETO)
15-08-65,CORINTHIANS,2,1,PORTUGUESA
18-08-65,CORINTHIANS,2,0,BOTAFOGO (RIBEIRÃO PRETO)
22-08-65,CORINTHIANS,3,2,AMÉRICA (RIO PRETO)
29-08-65,CORINTHIANS,3,4,SANTOS
05-09-65,CORINTHIANS,3,2,GUARANI
07-09-65,CORINTHIANS,2,0,NOROESTE
12-09-65,CORINTHIANS,0,0,PALMEIRAS
16-09-65,CORINTHIANS,2,1,FERROVIÁRIA (ARARAQUARA)
19-09-65,CORINTHIANS,3,1,XV DE PIRACICABA
26-09-65,CORINTHIANS,4,2,SÃO BENTO (SOROCABA)
03-10-65,CORINTHIANS,1,1,SÃO PAULO
10-10-65,CORINTHIANS,2,0,PRUDENTINA
13-10-65,CORINTHIANS,5,2,SÃO PAULO
17-10-65,CORINTHIANS,2,1,PORTUGUESA SANTISTA
21-10-65,CORINTHIANS,6,2,JUVENTUS
24-10-65,CORINTHIANS,2,1,COMERCIAL (RIBEIRÃO PRETO)
31-10-65,CORINTHIANS,2,0,PORTUGUESA
07-11-65,CORINTHIANS,4,0,AMÉRICA (RIO PRETO)
14-11-65,CORINTHIANS,2,4,SANTOS
16-11-65,CORINTHIANS,0,2,ARSENAL
25-11-65,CORINTHIANS,1,3,GUARANI
28-11-65,CORINTHIANS,5,1,NOROESTE
05-12-65,CORINTHIANS,0,1,PALMEIRAS
08-12-65,CORINTHIANS,1,2,FERROVIÁRIA (ARARAQUARA)
11-12-65,CORINTHIANS,0,0,BOTAFOGO (RIBEIRÃO PRETO)
15-12-65,CORINTHIANS,7,0,XV DE PIRACICABA
22-01-66,CORINTHIANS,2,2,LONDRINA (FR)
25-01-66,CORINTHIANS,3,1,SELEÇÃO DA UNIÃO SOVIÉTICA
31-01-66,CORINTHIANS,0,0,FLAMENGO
06-02-66,CORINTHIANS,3,2,SÃO BENTO (SOROCABA)
13-02-66,CORINTHIANS,2,0,FLUMINENSE
17-02-66,CORINTHIANS,1,0,BANGU
24-02-66,CORINTHIANS,5,4,PORTUGUESA
27-02-66,CORINTHIANS,6,1,SELEÇÃO MINEIRA
02-03-66,CORINTHIANS,0,3,VASCO DA GAMA
10-03-66,CORINTHIANS,1,5,BOTAFOGO
13-03-66,CORINTHIANS,2,1,CRUZEIRO
19-03-66,CORINTHIANS,2,0,SÃO PAULO
21-03-66,CORINTHIANS,1,2,PALMEIRAS
24-03-66,CORINTHIANS,3,1,FLAMENGO
27-03-66,CORINTHIANS,0,0,SANTOS
06-04-66,CORINTHIANS,3,1,FERROVIÁRIA (ARARAQUARA)
13-04-66,CORINTHIANS,0,1,EMELEC
17-04-66,CORINTHIANS,0,2,FLAMENGO
21-04-66,CORINTHIANS,5,1,BARCELONA
28-04-66,CORINTHIANS,3,2,FLAMENGO
01-05-66,CORINTHIANS,6,0,UNIVERSIDAD
08-05-66,CORINTHIANS,3,2,FLAMENGO
18-05-66,CORINTHIANS,5,0,ZURICH
25-05-66,CORINTHIANS,3,2,LAZIO
29-05-66,CORINTHIANS,3,1,INTERNAZIONALE
01-06-66,CORINTHIANS,1,1,ESPANYOL
22-06-66,CORINTHIANS,2,0,PORTUGUESA
26-06-66,CORINTHIANS,2,1,SÃO PAULO
03-07-66,CORINTHIANS,2,2,PORTUGUESA
10-07-66,CORINTHIANS,4,4,SÃO PAULO
17-07-66,CORINTHIANS,3,0,OURINHENSE
02-08-66,CORINTHIANS,7,1,AMPARO
10-08-66,CORINTHIANS,3,0,SÃO BENTO (SOROCABA)
14-08-66,CORINTHIANS,1,1,PORTUGUESA SANTISTA
17-08-66,CORINTHIANS,3,1,GUARANI
21-08-66,CORINTHIANS,4,3,BOTAFOGO (RIBEIRÃO PRETO)
24-08-66,CORINTHIANS,6,3,PORTUGUESA
28-08-66,CORINTHIANS,2,0,NOROESTE
03-09-66,CORINTHIANS,1,1,REAL MADRID
04-09-66,CORINTHIANS,0,2,ZARAGOZA
10-09-66,CORINTHIANS,3,0,BRAGANTINO
15-09-66,CORINTHIANS,1,1,JUVENTUS
